timestamp, cpu_user, cpu_system, rss, heapTotal, heapUsed, external
1737464941381, 35368733, 6459714, 232206336, 157347840, 151891592, 3060338
1737464941883, 35369399, 6459836, 232206336, 157347840, 151893416, 3060338
1737464942383, 35370085, 6459961, 232206336, 157347840, 151895240, 3060338
1737464942884, 35370835, 6460021, 232206336, 157347840, 151897064, 3060338
1737464943386, 35371624, 6460021, 232206336, 157347840, 151898888, 3060338
1737464943886, 35372390, 6460021, 232206336, 157347840, 151900688, 3060338
1737464944387, 35373163, 6460021, 232206336, 157347840, 151902488, 3060338
1737464944887, 35373931, 6460021, 232206336, 157347840, 151904296, 3060338
1737464945388, 35374306, 6460411, 232206336, 157347840, 151906096, 3060338
1737464945890, 35374306, 6461199, 232206336, 157347840, 151907920, 3060338
1737464946390, 35374306, 6461970, 232206336, 157347840, 151909720, 3060338
1737464946892, 35374306, 6462764, 232206336, 157347840, 151911520, 3060338
1737464947392, 35374570, 6463314, 232206336, 157347840, 151913320, 3060338
1737464947893, 35375242, 6463437, 232206336, 157347840, 151915144, 3060338
1737464948395, 35375886, 6463554, 232206336, 157347840, 151916968, 3060338
1737464948895, 35376556, 6463677, 232206336, 157347840, 151918792, 3060338
1737464949396, 35376882, 6464161, 232206336, 157347840, 151920616, 3060338
1737464949897, 35376882, 6464928, 232206336, 157347840, 151922440, 3060338
1737464950398, 35376882, 6465715, 232206336, 157347840, 151924240, 3060338
1737464950900, 35376882, 6466481, 232206336, 157347840, 151926040, 3060338
1737464951400, 35377157, 6467049, 232206336, 157347840, 151927840, 3060338
1737464951901, 35377809, 6467169, 232206336, 157347840, 151929664, 3060338
1737464952402, 35378519, 6467298, 232206336, 157347840, 151931488, 3060338
1737464952903, 35379176, 6467418, 232206336, 157347840, 151933312, 3060338
1737464953405, 35379856, 6467543, 232206336, 157347840, 151935136, 3060338
1737464953905, 35380506, 6467662, 232206336, 157347840, 151936960, 3060338
1737464954407, 35381155, 6467780, 232206336, 157347840, 151938784, 3060338
1737464954907, 35381822, 6467902, 232206336, 157347840, 151940608, 3060338
1737464955408, 35382580, 6467962, 232206336, 157347840, 151942432, 3060338
1737464955909, 35383383, 6467962, 232206336, 157347840, 151944256, 3060338
1737464956410, 35384152, 6467962, 232206336, 157347840, 151946056, 3060338
1737464956911, 35384941, 6467962, 232206336, 157347840, 151947856, 3060338
1737464957412, 35385741, 6467962, 232206336, 157347840, 151949656, 3060338
1737464957914, 35386519, 6467962, 232206336, 157347840, 151951456, 3060338
1737464958414, 35387321, 6467962, 232206336, 157347840, 151953256, 3060338
1737464958915, 35388096, 6467962, 232206336, 157347840, 151955056, 3060338
1737464959416, 35388886, 6467962, 232206336, 157347840, 151956856, 3060338
1737464959917, 35389650, 6467962, 232206336, 157347840, 151958656, 3060338
1737464960418, 35390390, 6468009, 232206336, 157347840, 151960456, 3060338
1737464960918, 35391052, 6468130, 232206336, 157347840, 151962280, 3060338
1737464961419, 35391727, 6468253, 232206336, 157347840, 151964104, 3060338
1737464961919, 35392374, 6468371, 232206336, 157347840, 151965928, 3060338
1737464962420, 35392700, 6468838, 232206336, 157347840, 151967752, 3060338
1737464962922, 35392700, 6469625, 232206336, 157347840, 151969576, 3060338
1737464963422, 35392700, 6470398, 232206336, 157347840, 151971376, 3060338
1737464963923, 35392700, 6471205, 232206336, 157347840, 151973176, 3060338
1737464964424, 35392700, 6471980, 232206336, 157347840, 151974976, 3060338
1737464964925, 35393027, 6472483, 232206336, 157347840, 151976992, 3068530
1737464965426, 35393670, 6472601, 232206336, 157347840, 151978840, 3068530
1737464965926, 35394339, 6472723, 232206336, 157347840, 151980664, 3068530
1737464966427, 35394989, 6472842, 232206336, 157347840, 151982488, 3068530
1737464966928, 35395654, 6472964, 232206336, 157347840, 151984312, 3068530
1737464967429, 35396301, 6473082, 232206336, 157347840, 151986136, 3068530
1737464967930, 35396946, 6473200, 232206336, 157347840, 151987960, 3068530
1737464968430, 35397609, 6473321, 232206336, 157347840, 151989784, 3068530
1737464968931, 35398259, 6473440, 232206336, 157347840, 151991608, 3068530
1737464969433, 35398934, 6473564, 232206336, 157347840, 151993432, 3068530
1737464969933, 35399592, 6473684, 232206336, 157347840, 151995256, 3068530
1737464970434, 35400257, 6473806, 232206336, 157347840, 151997080, 3068530
1737464970935, 35400906, 6473924, 232206336, 157347840, 151998904, 3068530
1737464971436, 35400906, 6474740, 232206336, 157347840, 152000728, 3068530
1737464971937, 35400906, 6475502, 232206336, 157347840, 152002528, 3068530
1737464972438, 35400906, 6476271, 232206336, 157347840, 152004328, 3068530
1737464972940, 35400906, 6477070, 232206336, 157347840, 152006128, 3068530
1737464973440, 35401483, 6477293, 232206336, 157347840, 152007928, 3068530
1737464973941, 35402152, 6477415, 232206336, 157347840, 152009752, 3068530
1737464974442, 35402800, 6477534, 232206336, 157347840, 152011576, 3068530
1737464974943, 35403479, 6477658, 232206336, 157347840, 152013400, 3068530
1737464975445, 35404136, 6477778, 232206336, 157347840, 152015224, 3068530
1737464975945, 35404806, 6477901, 232206336, 157347840, 152017048, 3068530
1737464976446, 35405452, 6478019, 232206336, 157347840, 152018872, 3068530
1737464976948, 35406101, 6478138, 232206336, 157347840, 152020696, 3068530
1737464977448, 35406911, 6478138, 232206336, 157347840, 152022520, 3068530
1737464977950, 35407680, 6478138, 232206336, 157347840, 152024320, 3068530
1737464978450, 35408470, 6478138, 232206336, 157347840, 152026120, 3068530
1737464978951, 35409243, 6478138, 232206336, 157347840, 152027920, 3068530
1737464979453, 35410101, 6478139, 232206336, 157347840, 152029720, 3068530
1737464979953, 35410747, 6478257, 232206336, 157347840, 152031544, 3068530
1737464980454, 35411409, 6478378, 232206336, 157347840, 152033368, 3068530
